Race,Date,WPM,Accuracy,Text,Outcome
7072.,2018-11-25 04:54:05,284.09,100%,3641177,Win (1 of 2)
7071.,2018-11-25 04:49:25,227.76,100%,4070017,Win (1 of 2)
7070.,2018-11-25 04:48:02,233.67,100%,4070027,Win (1 of 2)
7069.,2018-11-25 04:41:57,213.27,100%,4070050,Win (1 of 2)
7068.,2018-11-25 04:40:03,226.10,100%,4070054,Win (1 of 2)
7067.,2018-11-25 04:38:51,218.91,100%,4070101,Win (1 of 2)
7066.,2018-11-25 04:38:26,197.07,100%,4070102,Win (1 of 2)
7065.,2018-11-25 04:34:07,226.19,100%,4070141,Win (1 of 2)
7064.,2018-11-25 04:29:54,258.26,100%,4070164,Win (1 of 2)
7063.,2018-11-25 04:23:52,249.16,100%,4070183,Win (1 of 2)
7062.,2018-11-25 04:18:22,223.42,100%,4070193,Win (1 of 2)
7061.,2018-11-07 15:34:48,152.41,97%,3641341,Win (1 of 2)
7060.,2018-11-07 15:33:07,187.07,99%,3641150,Win (1 of 2)
7059.,2018-11-07 15:31:53,136.21,97%,209,Win (1 of 2)
7058.,2018-11-07 15:30:36,211.06,100%,548,Win (1 of 2)
7057.,2018-11-07 15:29:40,181.64,99%,3622350,Win (1 of 2)
7056.,2018-11-07 15:28:46,140.62,98%,3550728,Win (1 of 2)
7055.,2018-11-07 15:27:38,159.75,98%,3810645,Win (1 of 2)
7054.,2018-11-07 15:25:38,186.14,99%,3640139,Win (1 of 2)
7053.,2018-11-07 15:23:47,156.10,98%,3640508,Win (1 of 2)
7052.,2018-11-07 15:22:06,126.01,97%,3810372,Win (1 of 2)
7051.,2018-11-07 15:18:42,169.54,99%,3810697,Win (1 of 2)
7050.,2018-11-07 15:17:12,190.73,99%,4070176,Win (1 of 2)
7049.,2018-11-07 15:16:18,162.61,98%,3622321,Win (1 of 2)
7048.,2018-11-07 15:15:26,177.39,99%,3622434,Win (1 of 2)
7047.,2018-11-07 15:13:53,146.07,98%,3622412,Win (1 of 2)
7046.,2018-11-07 15:11:54,182.58,99%,3810239,Win (1 of 2)
7045.,2018-09-24 21:57:37,299.45,100%,3641177,Win (1 of 2)
7044.,2018-09-09 15:59:01,216.11,100%,92,Win (1 of 2)
7043.,2018-09-09 15:57:03,171.55,99%,90,Win (1 of 2)
7042.,2018-09-09 15:50:57,173.87,99%,57,Win (1 of 2)
7041.,2018-09-06 22:46:54,190.30,99%,40,Win (1 of 2)
7040.,2018-09-06 22:44:22,189.76,100%,38,Win (1 of 2)
7039.,2018-09-06 22:37:34,185.38,99%,38,Win (1 of 2)
7038.,2018-09-06 22:29:20,206.42,100%,28,Win (1 of 2)
7037.,2017-11-22 21:44:55,292.23,100%,3810446,Win (1 of 2)
